"Statistic","Nace.Rev.2.Activity","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Turnover less payments to subcontractors","Electrical, plumbing and other construction installation activities (432)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover less payments to subcontractors","Building completion and finishing (433)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover less payments to subcontractors","Other specialised construction activities (439)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Turnover less payments to subcontractors","Construction (41 to 43)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Assets made for own use","Development of building projects (411)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Assets made for own use","Construction of residential and non-residential buildings (412)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Assets made for own use","Construction of roads and railways (421)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Assets made for own use","Construction of utility projects (422)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Assets made for own use","Construction of other civil engineering projects (429)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Assets made for own use","Demolition and site preparation (431)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Assets made for own use","Electrical, plumbing and other construction installation activities (432)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Assets made for own use","Building completion and finishing (433)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Assets made for own use","Other specialised construction activities (439)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Assets made for own use","Construction (41 to 43)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Purchases - Materials and energy","Development of building projects (411)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Purchases - Materials and energy","Construction of residential and non-residential buildings (412)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Purchases - Materials and energy","Construction of roads and railways (421)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Purchases - Materials and energy","Construction of utility projects (422)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Purchases - Materials and energy","Construction of other civil engineering projects (429)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Purchases - Materials and energy","Demolition and site preparation (431)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Purchases - Materials and energy","Electrical, plumbing and other construction installation activities (432)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Purchases - Materials and energy","Building completion and finishing (433)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Purchases - Materials and energy","Other specialised construction activities (439)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Purchases - Materials and energy","Construction (41 to 43)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Purchases - Industrial services","Development of building projects (411)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Purchases - Industrial services","Construction of residential and non-residential buildings (412)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Purchases - Industrial services","Construction of roads and railways (421)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Purchases - Industrial services","Construction of utility projects (422)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Purchases - Industrial services","Construction of other civil engineering projects (429)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Purchases - Industrial services","Demolition and site preparation (431)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Purchases - Industrial services","Electrical, plumbing and other construction installation activities (432)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Purchases - Industrial services","Building completion and finishing (433)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Purchases - Industrial services","Other specialised construction activities (439)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Purchases - Industrial services","Construction (41 to 43)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Purchases - Factored goods","Development of building projects (411)",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,7
"Purchases - Factored goods","Construction of residential and non-residential buildings (412)",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,29
"Purchases - Factored goods","Construction of roads and railways (421)",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
"Purchases - Factored goods","Construction of utility projects (422)",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
"Purchases - Factored goods","Construction of other civil engineering projects (429)",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
"Purchases - Factored goods","Demolition and site preparation (431)",NA,NA,NA,NA,NA,NA,NA,182,497,859,1180,1593
"Purchases - Factored goods","Electrical, plumbing and other construction installation activities (432)",NA,NA,NA,NA,NA,NA,NA,5770,8412,16648,23838,34081
"Purchases - Factored goods","Building completion and finishing (433)",NA,NA,NA,NA,NA,NA,NA,3533,4922,10496,12371,16919
"Purchases - Factored goods","Other specialised construction activities (439)",NA,NA,NA,NA,NA,NA,NA,1857,3232,6997,8439,11806
"Purchases - Factored goods","Construction (41 to 43)",NA,NA,NA,NA,NA,NA,NA,11342,17064,35000,45828,64435
"Purchases - Other goods/services","Development of building projects (411)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Purchases - Other goods/services","Construction of residential and non-residential buildings (412)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Purchases - Other goods/services","Construction of roads and railways (421)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Purchases - Other goods/services","Construction of utility projects (422)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Purchases - Other goods/services","Construction of other civil engineering projects (429)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Purchases - Other goods/services","Demolition and site preparation (431)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Purchases - Other goods/services","Electrical, plumbing and other construction installation activities (432)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Purchases - Other goods/services","Building completion and finishing (433)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Purchases - Other goods/services","Other specialised construction activities (439)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Purchases - Other goods/services","Construction (41 to 43)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Purchases - Total","Development of building projects (411)",NA,NA,NA,NA,NA,NA,NA,1685627,1508408,2348210,2724148,4060539
"Purchases - Total","Construction of residential and non-residential buildings (412)",NA,NA,NA,NA,NA,NA,NA,3549214,5494153,6575223,8484714,13104895
"Purchases - Total","Construction of roads and railways (421)",NA,NA,NA,NA,NA,NA,NA,251811,430464,507887,657618,1134018
"Purchases - Total","Construction of utility projects (422)",NA,NA,NA,NA,NA,NA,NA,142940,349821,359575,406492,555455
"Purchases - Total","Construction of other civil engineering projects (429)",NA,NA,NA,NA,NA,NA,NA,244125,393097,492586,381044,685086
"Purchases - Total","Demolition and site preparation (431)",NA,NA,NA,NA,NA,NA,NA,77627,167146,169837,178007,403224
"Purchases - Total","Electrical, plumbing and other construction installation activities (432)",NA,NA,NA,NA,NA,NA,NA,1776336,2154643,2566822,2757474,7264597
"Purchases - Total","Building completion and finishing (433)",NA,NA,NA,NA,NA,NA,NA,1303024,1625085,1899196,1950318,4310072
"Purchases - Total","Other specialised construction activities (439)",NA,NA,NA,NA,NA,NA,NA,730093,1065129,1314748,1365029,3070161
"Purchases - Total","Construction (41 to 43)",NA,NA,NA,NA,NA,NA,NA,9760796,13187945,16234084,18904844,34588048
"Stocks at end of year - Work in progress","Development of building projects (411)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Work in progress","Construction of residential and non-residential buildings (412)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Work in progress","Construction of roads and railways (421)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Work in progress","Construction of utility projects (422)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Work in progress","Construction of other civil engineering projects (429)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Work in progress","Demolition and site preparation (431)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Work in progress","Electrical, plumbing and other construction installation activities (432)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Work in progress","Building completion and finishing (433)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Work in progress","Other specialised construction activities (439)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Work in progress","Construction (41 to 43)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Unsold finished work","Development of building projects (411)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Unsold finished work","Construction of residential and non-residential buildings (412)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Unsold finished work","Construction of roads and railways (421)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Unsold finished work","Construction of utility projects (422)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Unsold finished work","Construction of other civil engineering projects (429)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Unsold finished work","Demolition and site preparation (431)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Unsold finished work","Electrical, plumbing and other construction installation activities (432)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Unsold finished work","Building completion and finishing (433)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Unsold finished work","Other specialised construction activities (439)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Unsold finished work","Construction (41 to 43)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Materials and energy","Development of building projects (411)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Materials and energy","Construction of residential and non-residential buildings (412)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Materials and energy","Construction of roads and railways (421)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Materials and energy","Construction of utility projects (422)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Materials and energy","Construction of other civil engineering projects (429)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Materials and energy","Demolition and site preparation (431)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Materials and energy","Electrical, plumbing and other construction installation activities (432)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Materials and energy","Building completion and finishing (433)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Materials and energy","Other specialised construction activities (439)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Materials and energy","Construction (41 to 43)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Factored goods","Development of building projects (411)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Factored goods","Construction of residential and non-residential buildings (412)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Factored goods","Construction of roads and railways (421)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Factored goods","Construction of utility projects (422)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Factored goods","Construction of other civil engineering projects (429)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Factored goods","Demolition and site preparation (431)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Factored goods","Electrical, plumbing and other construction installation activities (432)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Factored goods","Building completion and finishing (433)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Factored goods","Other specialised construction activities (439)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Factored goods","Construction (41 to 43)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Total","Development of building projects (411)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Total","Construction of residential and non-residential buildings (412)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Total","Construction of roads and railways (421)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Total","Construction of utility projects (422)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Total","Construction of other civil engineering projects (429)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Total","Demolition and site preparation (431)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Total","Electrical, plumbing and other construction installation activities (432)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Total","Building completion and finishing (433)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Total","Other specialised construction activities (439)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stocks at end of year - Total","Construction (41 to 43)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Work in progress","Development of building projects (411)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Work in progress","Construction of residential and non-residential buildings (412)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Work in progress","Construction of roads and railways (421)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Work in progress","Construction of utility projects (422)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Work in progress","Construction of other civil engineering projects (429)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Work in progress","Demolition and site preparation (431)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Work in progress","Electrical, plumbing and other construction installation activities (432)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Work in progress","Building completion and finishing (433)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Work in progress","Other specialised construction activities (439)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Work in progress","Construction (41 to 43)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Unsold finished work","Development of building projects (411)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Unsold finished work","Construction of residential and non-residential buildings (412)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Unsold finished work","Construction of roads and railways (421)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Unsold finished work","Construction of utility projects (422)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Unsold finished work","Construction of other civil engineering projects (429)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Unsold finished work","Demolition and site preparation (431)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Unsold finished work","Electrical, plumbing and other construction installation activities (432)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Unsold finished work","Building completion and finishing (433)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Unsold finished work","Other specialised construction activities (439)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Unsold finished work","Construction (41 to 43)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Materials and energy","Development of building projects (411)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Materials and energy","Construction of residential and non-residential buildings (412)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Materials and energy","Construction of roads and railways (421)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Materials and energy","Construction of utility projects (422)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Materials and energy","Construction of other civil engineering projects (429)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Materials and energy","Demolition and site preparation (431)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Materials and energy","Electrical, plumbing and other construction installation activities (432)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Materials and energy","Building completion and finishing (433)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Materials and energy","Other specialised construction activities (439)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Materials and energy","Construction (41 to 43)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Factored goods","Development of building projects (411)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Factored goods","Construction of residential and non-residential buildings (412)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Factored goods","Construction of roads and railways (421)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Factored goods","Construction of utility projects (422)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Factored goods","Construction of other civil engineering projects (429)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Factored goods","Demolition and site preparation (431)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Factored goods","Electrical, plumbing and other construction installation activities (432)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Factored goods","Building completion and finishing (433)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Factored goods","Other specialised construction activities (439)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Factored goods","Construction (41 to 43)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Total","Development of building projects (411)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Total","Construction of residential and non-residential buildings (412)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Total","Construction of roads and railways (421)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Total","Construction of utility projects (422)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Total","Construction of other civil engineering projects (429)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Total","Demolition and site preparation (431)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Total","Electrical, plumbing and other construction installation activities (432)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Total","Building completion and finishing (433)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Total","Other specialised construction activities (439)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stock changes - Total","Construction (41 to 43)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capital assets - Acquisitions","Development of building projects (411)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capital assets - Acquisitions","Construction of residential and non-residential buildings (412)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capital assets - Acquisitions","Construction of roads and railways (421)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capital assets - Acquisitions","Construction of utility projects (422)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capital assets - Acquisitions","Construction of other civil engineering projects (429)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capital assets - Acquisitions","Demolition and site preparation (431)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capital assets - Acquisitions","Electrical, plumbing and other construction installation activities (432)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capital assets - Acquisitions","Building completion and finishing (433)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capital assets - Acquisitions","Other specialised construction activities (439)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capital assets - Acquisitions","Construction (41 to 43)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capital assets - Sales","Development of building projects (411)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capital assets - Sales","Construction of residential and non-residential buildings (412)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capital assets - Sales","Construction of roads and railways (421)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capital assets - Sales","Construction of utility projects (422)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capital assets - Sales","Construction of other civil engineering projects (429)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capital assets - Sales","Demolition and site preparation (431)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capital assets - Sales","Electrical, plumbing and other construction installation activities (432)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capital assets - Sales","Building completion and finishing (433)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capital assets - Sales","Other specialised construction activities (439)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capital assets - Sales","Construction (41 to 43)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Production value","Development of building projects (411)",5218893,1394990,777772,2350195,349577,1390938,1880440,1989942,1956265,3152372,3546908,3293606
"Production value","Construction of residential and non-residential buildings (412)",14409735,6377659,4338738,3709273,1834953,2420940,4217370,4601170,7448660,9324206,11748038,11402684
"Production value","Construction of roads and railways (421)",1312005,1175635,630969,478351,518477,412197,452755,584342,649973,817634,1013882,1136842
"Production value","Construction of utility projects (422)",458670,562045,282360,276919,227627,227198,309422,296985,548132,645438,702528,685811
"Production value","Construction of other civil engineering projects (429)",1272610,1037515,497558,444288,396437,294255,411047,410146,615435,693191,606543,734409
"Production value","Demolition and site preparation (431)",427021,309267,688562,294090,143538,155636,196404,158431,299002,320878,349901,457737
"Production value","Electrical, plumbing and other construction installation activities (432)",4100555,3734749,2821943,2407615,2041740,2125160,3092310,3391017,3730339,4688411,5151427,7750387
"Production value","Building completion and finishing (433)",4473945,3153430,2493507,2144459,1488259,1723563,2214802,2687317,2845668,3527481,3689250,4700612
"Production value","Other specialised construction activities (439)",3945784,2210411,1517703,1427104,902845,1007872,1328106,1484107,1871181,2418305,2831284,3411368
"Production value","Construction (41 to 43)",35619219,19955700,14049112,13532292,7903454,9757759,14102657,15603457,19964656,25587915,29639762,33573455
"Intermediate consumption","Development of building projects (411)",4907406,3215223,2128232,3310827,603810,926519,1319180,1699224,1487245,2347785,2716891,2453621
"Intermediate consumption","Construction of residential and non-residential buildings (412)",11272585,5930293,4391320,3655021,1258991,1389255,2889564,3563502,5421064,6553863,8504869,7917097
"Intermediate consumption","Construction of roads and railways (421)",812137,503112,381056,343522,290452,270894,278431,246139,425643,508730,656273,788226
"Intermediate consumption","Construction of utility projects (422)",304146,433652,197546,192184,138765,144584,186785,141170,346181,359507,402329,355194
"Intermediate consumption","Construction of other civil engineering projects (429)",870440,715151,348601,335071,228777,192228,276395,241488,385733,493885,379936,459284
"Intermediate consumption","Demolition and site preparation (431)",223619,160089,682857,236773,73604,81874,178349,74052,164282,169048,181667,282984
"Intermediate consumption","Electrical, plumbing and other construction installation activities (432)",2074809,1995305,1658541,1338908,950237,1111559,1563448,1738806,2120745,2547912,2775126,4976055
"Intermediate consumption","Building completion and finishing (433)",2194369,1720359,1487164,1225808,663521,904309,1118744,1260032,1604122,1883538,1938625,2979822
"Intermediate consumption","Other specialised construction activities (439)",1964270,1187155,943900,1024190,443999,522402,671987,713158,1049613,1306592,1361318,2147713
"Intermediate consumption","Construction (41 to 43)",24623781,15860338,12219217,11662303,4652157,5543623,8482883,9677571,13004630,16170859,18917034,22359995
"Gross value added at basic prices","Development of building projects (411)",311486,-1820233,-1350460,-960632,-254233,464419,561260,290718,469020,804587,830017,839985
"Gross value added at basic prices","Construction of residential and non-residential buildings (412)",3137150,447366,-52582,54252,575962,1031685,1327806,1037667,2027596,2770343,3243169,3485587
"Gross value added at basic prices","Construction of roads and railways (421)",499868,672523,249913,134829,228025,141303,174325,230856,224330,270900,357608,348616
"Gross value added at basic prices","Construction of utility projects (422)",154523,128393,84814,84735,88862,82614,122637,155815,201950,221009,300200,330617
"Gross value added at basic prices","Construction of other civil engineering projects (429)",402170,322364,148957,109217,167660,102027,134652,168658,229702,180170,226608,275125
"Gross value added at basic prices","Demolition and site preparation (431)",203403,149178,5704,57317,69934,73762,18055,84378,134721,151831,168234,174753
"Gross value added at basic prices","Electrical, plumbing and other construction installation activities (432)",2025747,1739444,1163402,1068707,1091504,1013601,1528862,1652212,1609594,2140499,2376301,2774332
"Gross value added at basic prices","Building completion and finishing (433)",2279576,1433071,1006344,918651,824737,819255,1096058,1427285,1241546,1643943,1750625,1720790
"Gross value added at basic prices","Other specialised construction activities (439)",1981514,1023256,573803,402914,458846,485470,656119,770949,821568,1111712,1469965,1263655
"Gross value added at basic prices","Construction (41 to 43)",10995438,4095362,1829895,1869989,3251297,4214136,5619774,5818539,6960026,9294994,10722728,11213460
"Gross value added at factor cost","Development of building projects (411)",306419.2974,-1823404.468,-1352898.7985,-963237.2295,-255720.1412,460436.933,559293.0393,287476.5067,466558.6439,793232.7998,825728.1366,837459
"Gross value added at factor cost","Construction of residential and non-residential buildings (412)",3124208.3241,441331.0284,-57644.4667,49491.3313,573011.7003,1025915.5716,1323490.3202,1031191.2086,2020108.3154,2734635.2134,3230221.1488,3477796
"Gross value added at factor cost","Construction of roads and railways (421)",499268.6862,671942.5819,249508.8878,134154.3773,227362.5458,140070.2736,173618.9398,230431.5404,221054.8918,270388.2511,356252.999,347322
