"Statistic","Nace.Rev.2.Activity","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Persons Engaged - Labour only subcontract basis","Construction of residential and non-residential buildings (412)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Persons Engaged - Labour only subcontract basis","Construction of roads and railways (421)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Persons Engaged - Labour only subcontract basis","Construction of utility projects (422)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Persons Engaged - Labour only subcontract basis","Construction of other civil engineering projects (429)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Persons Engaged - Labour only subcontract basis","Demolition and site preparation (431)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Persons Engaged - Labour only subcontract basis","Electrical, plumbing and other construction installation activities (432)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Persons Engaged - Labour only subcontract basis","Building completion and finishing (433)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Persons Engaged - Labour only subcontract basis","Other specialised construction activities (439)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Persons Engaged - Labour only subcontract basis","Construction (41 to 43)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Persons Engaged - Total","Development of building projects (411)",4316,3428,2201,2025,1901,2059,2179,1975,2367,2901,3059,3858
"Persons Engaged - Total","Construction of residential and non-residential buildings (412)",55768,36360,26927,23105,21129,21230,23177,25559,29184,33424,35254,37766
"Persons Engaged - Total","Construction of roads and railways (421)",5814,3953,2995,2559,2453,2417,2628,2793,3062,3474,4041,4508
"Persons Engaged - Total","Construction of utility projects (422)",2605,2005,1884,1756,1599,1865,2129,2288,2644,2993,2709,2879
"Persons Engaged - Total","Construction of other civil engineering projects (429)",4874,4004,2461,2061,1993,1868,2110,2285,2570,2846,2698,3246
"Persons Engaged - Total","Demolition and site preparation (431)",2995,2119,1547,1311,1164,1114,1220,1376,1656,1756,2076,2364
"Persons Engaged - Total","Electrical, plumbing and other construction installation activities (432)",40320,32854,27578,26611,25299,26383,29709,31047,32976,37467,39903,43914
"Persons Engaged - Total","Building completion and finishing (433)",43885,30284,24677,22729,22088,21922,23153,25917,28204,32004,33003,35597
"Persons Engaged - Total","Other specialised construction activities (439)",29492,19306,14275,12483,11725,12264,13555,15480,17678,20374,21778,24095
"Persons Engaged - Total","Construction (41 to 43)",190069,134313,104545,94640,89351,91122,99860,108720,120341,137239,144521,158227
"Wages and Salaries - Manual Employees","Development of building projects (411)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Manual Employees","Construction of residential and non-residential buildings (412)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Manual Employees","Construction of roads and railways (421)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Manual Employees","Construction of utility projects (422)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Manual Employees","Construction of other civil engineering projects (429)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wages and Salaries - Manual Employees","Demolition and site preparation (431)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
