"Statistic","County","NACE.Rev.2.Economic.Sector","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Mean Annual Earnings","Co. Cavan","Arts, entertainment, recreation and other service activities (R,S)",21267,21326,20208,19798,20005,19939,19816,20740,22151,26029,26591,24100,25549,28472
"Mean Annual Earnings","Co. Carlow","All NACE economic sectors",34815,34436,34823,34821,35343,35234,36141,37129,38408,42260,42861,44000,45276,47834
"Mean Annual Earnings","Co. Carlow","Construction (F)",32944,32512,34242,33627,33998,33935,34736,36014,38244,41753,43024,43711,46208,47924
"Mean Annual Earnings","Co. Carlow","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",25858,25274,25621,26007,26412,27157,27950,28549,30152,33074,33368,33352,34095,36095
"Mean Annual Earnings","Co. Carlow","Transportation and storage (H)",32404,32240,32378,31149,31742,32617,33309,34218,36242,37577,38023,39993,39707,43604
"Mean Annual Earnings","Co. Carlow","Accommodation and food service activities (I)",18654,18508,18804,18468,19072,18227,18871,19182,19488,22574,22784,22863,22902,25530
"Mean Annual Earnings","Co. Carlow","Information and communication (J)",50385,49535,48239,50495,52745,52473,54811,55634,57098,60072,63280,69690,72730,80539
"Mean Annual Earnings","Co. Carlow","Professional, scientific and technical activities (M)",37176,34804,35159,37255,38096,39571,41376,40893,40862,43338,48122,49527,53895,54414
"Mean Annual Earnings","Co. Carlow","Administrative and support service activities (N)",25597,27530,28309,28041,29599,30136,32008,31668,34510,36987,39532,39453,39814,43036
"Mean Annual Earnings","Co. Carlow","Public administration and defence; compulsory social security (O)",46518,46237,46651,46655,46482,46694,49468,50254,50759,52405,53403,56113,59227,63023
"Mean Annual Earnings","Co. Carlow","Education (P)",49613,49471,49244,47948,47260,46391,47135,48710,49894,50905,50918,54049,55458,57528
"Mean Annual Earnings","Co. Carlow","Human health and social work activities (Q)",32014,32269,32202,31495,32467,32133,32562,32823,34009,36319,36201,38852,40421,42160
"Mean Annual Earnings","Co. Carlow","Industry (B to E)",37580,37965,38760,40211,39922,38981,40277,42053,44209,49267,48814,49703,50448,53184
"Mean Annual Earnings","Co. Carlow","Financial, insurance and real estate activities (K,L)",43967,42484,42415,42151,43254,43382,44244,45219,48527,48291,50731,54453,55616,58804
"Mean Annual Earnings","Co. Carlow","Arts, entertainment, recreation and other service activities (R,S)",25367,24465,23592,24277,24795,24058,24687,25671,25263,30188,28632,26818,27694,29608
"Mean Annual Earnings","Co. Donegal","All NACE economic sectors",31776,31705,31539,31691,32137,31683,32152,33222,34362,39573,39288,39156,40803,43445
"Mean Annual Earnings","Co. Donegal","Construction (F)",27278,26307,26176,27419,28413,27034,27546,28247,30544,39714,37418,35493,36630,39821
"Mean Annual Earnings","Co. Donegal","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",19977,20096,20259,20608,20964,21373,21619,22300,23155,25910,26190,26413,27896,29255
"Mean Annual Earnings","Co. Donegal","Transportation and storage (H)",29216,27837,27927,27601,27335,27016,26502,27616,28821,32268,31875,31867,32809,35241
"Mean Annual Earnings","Co. Donegal","Accommodation and food service activities (I)",15101,15169,15054,15352,15882,16193,16797,17354,17527,23461,21764,21441,21268,22498
"Mean Annual Earnings","Co. Donegal","Information and communication (J)",38321,38485,38256,39603,40836,39927,41073,42876,44192,46915,48683,53026,56849,60527
"Mean Annual Earnings","Co. Donegal","Professional, scientific and technical activities (M)",29028,27792,27998,30023,32339,28542,29655,33028,35147,39051,40300,42097,43160,47921
"Mean Annual Earnings","Co. Donegal","Administrative and support service activities (N)",20531,20229,20057,22277,23405,22864,24715,25937,27806,35810,30002,31883,34571,38087
"Mean Annual Earnings","Co. Donegal","Public administration and defence; compulsory social security (O)",42995,42392,42710,42795,42527,42691,43822,44335,46008,46758,47837,50818,53185,55054
"Mean Annual Earnings","Co. Donegal","Education (P)",49420,49631,49621,48396,48599,47530,48614,49381,50144,51449,52035,54199,56071,57411
"Mean Annual Earnings","Co. Donegal","Human health and social work activities (Q)",34697,35031,34849,34750,35299,34956,35444,36075,36969,38891,39714,41166,43658,46680
