"Statistic","County","NACE.Rev.2.Economic.Sector","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Mean Annual Earnings","Co. Limerick","Industry (B to E)",47173,49800,50528,52163,52612,53230,55622,56537,57083,60263,62886,65696,67763,70639
"Mean Annual Earnings","Co. Limerick","Financial, insurance and real estate activities (K,L)",45827,46582,45633,46134,45378,43400,43307,46572,48425,51317,52313,54700,56056,61471
"Mean Annual Earnings","Co. Limerick","Arts, entertainment, recreation and other service activities (R,S)",23569,22555,22791,23119,23204,23524,24196,25704,26711,32304,32035,29663,30720,30990
"Mean Annual Earnings","Co. Leitrim","All NACE economic sectors",34461,34092,34431,34783,35214,34848,35648,36637,38053,42145,42322,42924,44897,47235
"Mean Annual Earnings","Co. Leitrim","Construction (F)",32402,31452,32881,32285,33730,31544,34309,34514,37551,44441,44922,42459,44933,46278
"Mean Annual Earnings","Co. Leitrim","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",22100,22118,22165,22700,23102,23762,24334,24993,26921,29218,29870,30918,33038,34488
"Mean Annual Earnings","Co. Leitrim","Transportation and storage (H)",32205,30994,30726,31595,32357,31827,31066,33060,33715,35980,36491,36277,39654,45014
"Mean Annual Earnings","Co. Leitrim","Accommodation and food service activities (I)",18235,17791,17363,17563,18512,17710,18640,19145,19821,26225,23877,23160,24247,24718
"Mean Annual Earnings","Co. Leitrim","Information and communication (J)",41368,42878,45396,48472,48499,42726,45108,48363,51620,54339,59312,62271,69759,73772
"Mean Annual Earnings","Co. Leitrim","Professional, scientific and technical activities (M)",29372,29875,29966,33298,31593,30909,32997,33628,37118,42034,41431,45260,46170,50329
"Mean Annual Earnings","Co. Leitrim","Administrative and support service activities (N)",25609,24383,26344,27568,28291,28910,30769,30509,32428,36521,32958,36501,37054,41682
"Mean Annual Earnings","Co. Leitrim","Public administration and defence; compulsory social security (O)",43889,43707,43620,44224,43788,43539,45782,46357,48696,49513,50314,52592,55295,58464
"Mean Annual Earnings","Co. Leitrim","Education (P)",48900,49230,50207,48304,48776,48093,49913,50179,50651,52166,52625,55297,57397,58191
"Mean Annual Earnings","Co. Leitrim","Human health and social work activities (Q)",33830,33635,33169,32809,33881,33321,33369,34673,35831,37461,38383,39963,42413,44723
"Mean Annual Earnings","Co. Leitrim","Industry (B to E)",37526,38083,38706,40303,40652,41516,41385,42394,43135,47322,46395,46474,47631,50416
"Mean Annual Earnings","Co. Leitrim","Financial, insurance and real estate activities (K,L)",39232,39282,45008,42523,43499,44465,45644,47420,48450,48379,51888,52746,56840,58780
"Mean Annual Earnings","Co. Leitrim","Arts, entertainment, recreation and other service activities (R,S)",20956,21053,20436,20768,20577,19892,19796,19531,20128,22953,24563,24900,23786,26599
"Mean Annual Earnings","Co. Laois","All NACE economic sectors",37253,36708,36985,37265,37749,37703,38741,39988,41461,45476,45882,46563,48368,50339
"Mean Annual Earnings","Co. Laois","Construction (F)",33886,31536,33524,35005,35344,35871,36582,38327,41520,42826,46447,45620,47225,49173
"Mean Annual Earnings","Co. Laois","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",26103,25834,26054,26703,27580,28619,28970,29863,30864,34102,35380,35285,36477,37396
"Mean Annual Earnings","Co. Laois","Transportation and storage (H)",38496,38434,38243,37727,37536,37742,38618,39509,40504,41980,42262,44406,43619,47264
"Mean Annual Earnings","Co. Laois","Accommodation and food service activities (I)",18405,17983,18195,17575,17978,18989,19648,20895,21894,27931,24144,24684,25098,25570
"Mean Annual Earnings","Co. Laois","Information and communication (J)",50618,51758,53083,52345,53503,53537,55814,57400,61656,67711,71037,74695,80493,87345
"Mean Annual Earnings","Co. Laois","Professional, scientific and technical activities (M)",35064,35651,36626,35831,38074,38927,40298,42403,44609,47672,49974,50915,53927,56111
"Mean Annual Earnings","Co. Laois","Administrative and support service activities (N)",27117,27411,27930,29220,29453,31741,35163,36570,38148,38314,39590,40927,44305,45755
"Mean Annual Earnings","Co. Laois","Public administration and defence; compulsory social security (O)",49320,48810,49439,49653,50340,49757,51402,52935,53179,54157,55279,58846,62499,65420
"Mean Annual Earnings","Co. Laois","Education (P)",47180,47263,47541,45958,46749,45368,46770,47614,48437,50328,49992,52057,54348,55768
"Mean Annual Earnings","Co. Laois","Human health and social work activities (Q)",36955,36639,36129,36233,36297,35628,36316,37392,39141,40920,41212,43027,44580,47439
"Mean Annual Earnings","Co. Laois","Industry (B to E)",43170,43121,43853,44654,44713,45755,46931,47357,49284,53109,52976,54504,55913,58630
"Mean Annual Earnings","Co. Laois","Financial, insurance and real estate activities (K,L)",42049,41013,41551,43524,43947,44866,45075,47192,47993,54571,52751,56307,59058,62227
"Mean Annual Earnings","Co. Laois","Arts, entertainment, recreation and other service activities (R,S)",23270,22043,22234,21871,22395,22242,23473,23839,24429,31333,32518,29843,31676,33607
"Mean Annual Earnings","Co. Meath","All NACE economic sectors",41083,40778,41062,41343,41992,42755,43722,45023,46548,50452,51615,53018,54573,56669
"Mean Annual Earnings","Co. Meath","Construction (F)",38875,38372,38407,39463,38454,39001,40089,41827,44147,49940,50595,49150,51544,54600
"Mean Annual Earnings","Co. Meath","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",31125,30759,31277,32102,32753,33923,34988,35783,36761,39668,41199,42098,43212,43935
"Mean Annual Earnings","Co. Meath","Transportation and storage (H)",43817,43365,43812,44256,44748,45394,45646,47995,48719,46685,47655,52853,53407,55753
"Mean Annual Earnings","Co. Meath","Accommodation and food service activities (I)",20603,20238,20716,20441,21380,21795,22186,22416,23686,30199,29394,27668,27437,28390
"Mean Annual Earnings","Co. Meath","Information and communication (J)",60681,60580,62295,63633,68206,68199,69713,73223,75032,78911,84649,89808,92399,99094
"Mean Annual Earnings","Co. Meath","Professional, scientific and technical activities (M)",43585,43630,44373,45094,45130,48462,49595,50458,52690,54501,57826,61207,63617,65585
"Mean Annual Earnings","Co. Meath","Administrative and support service activities (N)",33968,33834,33674,34332,34499,35551,36913,39193,42471,44720,45889,48552,50250,52806
"Mean Annual Earnings","Co. Meath","Public administration and defence; compulsory social security (O)",50094,49397,50030,49934,49673,50827,52950,53582,54285,55272,56681,60070,63224,65804
"Mean Annual Earnings","Co. Meath","Education (P)",48476,48167,48472,46767,47215,46379,47545,48869,49928,51119,51390,54357,55792,57871
"Mean Annual Earnings","Co. Meath","Human health and social work activities (Q)",37240,36514,36875,36546,37035,36887,37587,38514,40049,42428,42465,45111,47670,49944
"Mean Annual Earnings","Co. Meath","Industry (B to E)",47734,48630,47824,48599,49372,51037,51689,53457,55260,59006,60383,61390,61044,62540
"Mean Annual Earnings","Co. Meath","Financial, insurance and real estate activities (K,L)",51849,51354,52419,52645,53769,55567,57867,59462,62565,63871,67469,69308,72736,76072
"Mean Annual Earnings","Co. Meath","Arts, entertainment, recreation and other service activities (R,S)",28187,27348,27141,28201,28225,27193,27692,27519,28419,36393,36688,32935,33818,36180
"Mean Annual Earnings","Co. Monaghan","All NACE economic sectors",32502,32390,32381,32281,32536,32297,33303,34327,35438,39005,39904,40024,41582,44045
"Mean Annual Earnings","Co. Monaghan","Construction (F)",31210,29863,31690,33003,32854,32640,34332,35777,36643,42617,43250,41459,43323,45108
"Mean Annual Earnings","Co. Monaghan","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",22114,22366,22347,23020,23357,24551,25098,25879,27061,29269,29945,30007,31184,32826
"Mean Annual Earnings","Co. Monaghan","Transportation and storage (H)",29376,29491,29409,30042,31271,30753,30995,31242,33442,34169,35758,36132,37903,40560
"Mean Annual Earnings","Co. Monaghan","Accommodation and food service activities (I)",17835,18285,17624,17378,18043,18339,19117,18758,19177,23951,24085,22568,23690,25085
"Mean Annual Earnings","Co. Monaghan","Information and communication (J)",43768,49327,48801,46090,47707,43790,45444,47086,50303,53228,59905,59886,64293,70093
"Mean Annual Earnings","Co. Monaghan","Professional, scientific and technical activities (M)",31670,32387,32830,34134,34764,32464,34459,36295,35722,39251,43959,45384,47723,51420
"Mean Annual Earnings","Co. Monaghan","Administrative and support service activities (N)",21782,23877,24581,23516,23506,24499,25249,28214,28810,31172,31901,31599,33890,37776
"Mean Annual Earnings","Co. Monaghan","Public administration and defence; compulsory social security (O)",45591,45026,45848,45830,45232,44889,46219,46698,48888,49639,52077,54115,57156,59060
"Mean Annual Earnings","Co. Monaghan","Education (P)",48850,48876,48497,47552,47685,46552,47661,48954,49992,51828,52519,54873,56804,59120
"Mean Annual Earnings","Co. Monaghan","Human health and social work activities (Q)",34313,33287,33332,32609,33026,33121,33691,33931,35711,37448,37189,38618,40286,41837
"Mean Annual Earnings","Co. Monaghan","Industry (B to E)",32015,32206,32065,31956,32377,32653,33641,34877,36142,37847,39768,40121,41217,43921
"Mean Annual Earnings","Co. Monaghan","Financial, insurance and real estate activities (K,L)",41589,40704,42641,42875,39792,41417,42180,45076,45571,48938,52591,56006,54532,59599
"Mean Annual Earnings","Co. Monaghan","Arts, entertainment, recreation and other service activities (R,S)",22349,21581,21777,21427,20548,20181,21333,20447,20543,23240,24711,23657,24383,27844
"Mean Annual Earnings","Co. Mayo","All NACE economic sectors",34117,34039,34117,34685,35166,35036,35430,36995,38407,42619,42954,43480,45033,47575
"Mean Annual Earnings","Co. Mayo","Construction (F)",34915,34096,35742,36059,35479,34627,35837,37531,40871,45109,46234,43235,45396,48991
"Mean Annual Earnings","Co. Mayo","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",23817,23691,23518,24257,24837,25629,25945,26808,27908,30228,31811,31887,33159,34848
"Mean Annual Earnings","Co. Mayo","Transportation and storage (H)",34590,33647,33269,33199,33579,33056,33089,34609,36022,39203,40574,39893,39976,43224
"Mean Annual Earnings","Co. Mayo","Accommodation and food service activities (I)",18130,18170,17463,17794,19035,18760,19449,19730,21065,25658,25430,24718,24945,25511
"Mean Annual Earnings","Co. Mayo","Information and communication (J)",41828,42564,45486,47633,48506,49520,49558,50428,54399,56639,60927,65151,68448,73750
"Mean Annual Earnings","Co. Mayo","Professional, scientific and technical activities (M)",36724,36531,37639,38771,41359,43639,44063,39937,41775,44467,47116,48490,50850,53748
"Mean Annual Earnings","Co. Mayo","Administrative and support service activities (N)",25239,25537,26453,27532,28169,26088,26736,28423,31354,34034,36270,36012,37993,42933
"Mean Annual Earnings","Co. Mayo","Public administration and defence; compulsory social security (O)",42354,41908,41686,43460,43163,43336,44163,45433,46251,47324,48183,50622,54157,56509
"Mean Annual Earnings","Co. Mayo","Education (P)",48964,49088,49124,47624,48409,47424,49150,50540,51147,52542,52775,55529,58405,59088
"Mean Annual Earnings","Co. Mayo","Human health and social work activities (Q)",33776,33928,33583,33646,34390,34136,34738,35283,36840,38753,38799,40470,43263,45696
"Mean Annual Earnings","Co. Mayo","Industry (B to E)",38226,39159,39690,41511,41600,42220,41581,45294,46429,49855,49772,52153,52820,55661
"Mean Annual Earnings","Co. Mayo","Financial, insurance and real estate activities (K,L)",43901,42928,42654,41285,40679,38817,40226,40621,42796,45744,47991,49102,52013,56595
"Mean Annual Earnings","Co. Mayo","Arts, entertainment, recreation and other service activities (R,S)",21383,21005,20615,21148,21590,20729,20791,21379,21702,26057,26653,25655,27077,29173
"Mean Annual Earnings","Co. Offaly","All NACE economic sectors",35380,35301,35482,35875,36101,35901,36626,37864,39243,43238,43564,44108,46018,48121
"Mean Annual Earnings","Co. Offaly","Construction (F)",34395,33623,35333,36038,35123,35229,36373,37061,39713,43583,45874,44624,46849,48945
"Mean Annual Earnings","Co. Offaly","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",25071,25510,25438,26049,26770,27833,28456,29945,30488,33565,34281,34180,35951,37757
"Mean Annual Earnings","Co. Offaly","Transportation and storage (H)",33920,33888,34013,33863,33727,34141,34118,35193,36884,39478,38499,39579,40844,42201
"Mean Annual Earnings","Co. Offaly","Accommodation and food service activities (I)",17765,16985,16826,17156,16698,17470,18166,18624,19514,24311,23436,23232,23848,24759
"Mean Annual Earnings","Co. Offaly","Information and communication (J)",45707,46128,49070,51247,52948,52531,52905,53963,57774,62463,67099,69742,71437,80946
"Mean Annual Earnings","Co. Offaly","Professional, scientific and technical activities (M)",35188,35764,35516,35613,37170,37635,40725,38805,42340,44399,46465,48379,53058,55449
"Mean Annual Earnings","Co. Offaly","Administrative and support service activities (N)",26502,27953,28158,28261,28398,28465,29976,32543,33773,36173,34991,36842,38944,41521
"Mean Annual Earnings","Co. Offaly","Public administration and defence; compulsory social security (O)",44811,44888,44712,45329,45214,44961,46802,47886,49493,50862,52147,55308,58502,60825
"Mean Annual Earnings","Co. Offaly","Education (P)",47778,47047,46434,45528,47069,44951,45757,46632,47478,49152,48417,51478,53399,54998
"Mean Annual Earnings","Co. Offaly","Human health and social work activities (Q)",36355,36486,36306,36964,36843,36230,36905,37970,38914,41784,41873,43471,45851,48400
"Mean Annual Earnings","Co. Offaly","Industry (B to E)",39046,38675,39709,40049,40133,40002,40147,41498,42762,45619,46643,47533,48813,50548
"Mean Annual Earnings","Co. Offaly","Financial, insurance and real estate activities (K,L)",41697,41338,42380,42881,42316,40487,43382,47403,48886,51914,54480,54474,57953,61011
"Mean Annual Earnings","Co. Offaly","Arts, entertainment, recreation and other service activities (R,S)",21715,21071,20284,21227,20878,21247,22342,22638,25163,30954,31051,28576,29763,32027
"Mean Annual Earnings","Co. Roscommon","All NACE economic sectors",35515,35223,35370,35719,36220,36199,36844,38082,39387,43315,43858,44833,46283,48826
"Mean Annual Earnings","Co. Roscommon","Construction (F)",31742,30142,31365,31995,31407,33396,34756,35482,38508,42950,43649,43165,44115,48769
"Mean Annual Earnings","Co. Roscommon","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",23732,23179,23539,24060,25278,25841,28258,29355,30404,33369,34339,35538,36511,37688
"Mean Annual Earnings","Co. Roscommon","Transportation and storage (H)",35809,36087,35362,35365,35972,34830,35453,36987,37849,39421,40026,41192,41743,44307
"Mean Annual Earnings","Co. Roscommon","Accommodation and food service activities (I)",17034,17236,17136,17710,17948,17457,18188,18641,20107,24079,25611,23397,23442,25315
"Mean Annual Earnings","Co. Roscommon","Information and communication (J)",46361,46526,47225,50807,52139,52651,49853,49565,52532,53323,61459,61454,64314,72644
"Mean Annual Earnings","Co. Roscommon","Professional, scientific and technical activities (M)",34126,33505,35026,34400,41730,42372,43191,37906,40506,45151,45662,46186,49301,55633
"Mean Annual Earnings","Co. Roscommon","Administrative and support service activities (N)",24408,23765,24295,30303,31793,29344,30405,31102,33190,35481,34835,37894,39625,43232
"Mean Annual Earnings","Co. Roscommon","Public administration and defence; compulsory social security (O)",44972,44691,45257,45684,45768,46753,47695,47970,49965,51561,53095,56683,58963,61377
"Mean Annual Earnings","Co. Roscommon","Education (P)",49041,49151,49724,48483,48938,48279,49260,50242,51283,52517,51604,55602,57168,58476
"Mean Annual Earnings","Co. Roscommon","Human health and social work activities (Q)",34705,33592,32981,32571,32742,32595,33249,34159,35299,37459,37375,39707,42040,45319
"Mean Annual Earnings","Co. Roscommon","Industry (B to E)",38502,40221,40037,40546,39802,40837,41243,44840,45484,48773,50011,51346,52180,53378
"Mean Annual Earnings","Co. Roscommon","Financial, insurance and real estate activities (K,L)",40687,40752,43288,42219,41551,41109,40914,43332,44173,48026,49179,50329,52414,57491
"Mean Annual Earnings","Co. Roscommon","Arts, entertainment, recreation and other service activities (R,S)",22018,22767,22245,21311,21951,20749,22219,22734,24620,29754,31777,27486,29208,29873
"Mean Annual Earnings","Co. Sligo","All NACE economic sectors",36340,36170,36549,36605,37129,37071,37635,38846,40153,44725,44756,45599,47265,49875
"Mean Annual Earnings","Co. Sligo","Construction (F)",31333,30779,30176,30593,31487,31966,34519,35068,38228,43206,44315,41319,42758,45627
"Mean Annual Earnings","Co. Sligo","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",24118,24433,24762,25138,25973,25910,26352,27148,27923,30708,31595,32251,33040,34289
"Mean Annual Earnings","Co. Sligo","Transportation and storage (H)",35157,34645,35170,35549,35201,35894,34687,35161,37096,40557,39577,41544,43516,45926
"Mean Annual Earnings","Co. Sligo","Accommodation and food service activities (I)",18666,18341,18511,18672,19119,19308,19681,19740,20514,25567,24018,24562,24798,26173
"Mean Annual Earnings","Co. Sligo","Information and communication (J)",42425,42057,43250,43974,48401,45067,46167,46433,47254,50502,54796,60804,62386,65496
"Mean Annual Earnings","Co. Sligo","Professional, scientific and technical activities (M)",30089,32149,32457,33167,34100,36239,38399,40359,41725,45562,51100,51624,55248,57966
"Mean Annual Earnings","Co. Sligo","Administrative and support service activities (N)",23591,23861,24152,25824,25837,27840,29045,28895,30058,30405,31324,31479,35191,38388
"Mean Annual Earnings","Co. Sligo","Public administration and defence; compulsory social security (O)",45400,45279,45626,46233,46193,45869,47155,47909,48353,49373,50061,53112,54863,58391
"Mean Annual Earnings","Co. Sligo","Education (P)",50227,51387,50884,49696,50138,49663,50808,51975,53207,54473,54794,57832,59487,60447
"Mean Annual Earnings","Co. Sligo","Human health and social work activities (Q)",39243,38661,38020,37781,38849,38620,39180,39817,41954,43850,44489,46285,50396,53918
"Mean Annual Earnings","Co. Sligo","Industry (B to E)",39368,39560,41645,43363,43280,45181,46316,47782,49132,53673,52810,54367,55450,58796
"Mean Annual Earnings","Co. Sligo","Financial, insurance and real estate activities (K,L)",44965,43555,44339,43464,42752,40860,38481,40154,42270,45448,46594,49794,53907,57238
"Mean Annual Earnings","Co. Sligo","Arts, entertainment, recreation and other service activities (R,S)",20352,20110,20326,19792,19698,19370,19503,21045,21756,25493,25248,25001,24147,25870
"Mean Annual Earnings","Co. Tipperary","All NACE economic sectors",35722,35582,35895,36359,36773,36390,37270,38281,39596,43891,43952,44678,46603,49115
"Mean Annual Earnings","Co. Tipperary","Construction (F)",34620,34247,35926,36153,36063,36518,37235,38320,39854,44992,44211,43943,46226,49203
"Mean Annual Earnings","Co. Tipperary","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",25095,24902,25395,26042,26612,27033,27409,28511,29665,32735,33361,33642,34803,36582
"Mean Annual Earnings","Co. Tipperary","Transportation and storage (H)",32949,33618,33434,33289,33643,34507,35065,36319,38263,40172,39586,41384,41571,45137
"Mean Annual Earnings","Co. Tipperary","Accommodation and food service activities (I)",17145,16887,16626,16841,16855,16934,17784,18305,18967,23850,22782,22282,22593,23796
"Mean Annual Earnings","Co. Tipperary","Information and communication (J)",42491,40682,41932,42684,46758,46589,49445,49309,50573,49287,60105,65204,69948,78734
"Mean Annual Earnings","Co. Tipperary","Professional, scientific and technical activities (M)",34393,40075,40099,41404,36393,36779,38265,38866,41997,45417,46271,49940,53925,54148
"Mean Annual Earnings","Co. Tipperary","Administrative and support service activities (N)",26811,27662,27922,30770,31981,30650,28800,30157,32977,35472,35809,38858,39404,43544
"Mean Annual Earnings","Co. Tipperary","Public administration and defence; compulsory social security (O)",44900,44371,45148,45915,45411,45056,46856,47403,48332,49074,50661,53196,56020,58982
"Mean Annual Earnings","Co. Tipperary","Education (P)",47834,47991,48229,46694,47258,46055,47583,48762,49586,51180,51170,53733,55286,57247
"Mean Annual Earnings","Co. Tipperary","Human health and social work activities (Q)",33011,33142,32977,33363,33790,33391,33972,35004,36326,38909,38551,40191,42769,45521
"Mean Annual Earnings","Co. Tipperary","Industry (B to E)",43259,42371,42863,43828,45278,43892,45611,46393,47693,52197,52303,52504,54796,58025
"Mean Annual Earnings","Co. Tipperary","Financial, insurance and real estate activities (K,L)",44895,44858,44506,46514,45869,44923,44551,46477,48057,50746,52265,55517,56404,59851
"Mean Annual Earnings","Co. Tipperary","Arts, entertainment, recreation and other service activities (R,S)",24109,22785,22961,22780,23240,23284,23352,23418,24192,28303,28778,26465,27259,28940
"Mean Annual Earnings","Co. Waterford","All NACE economic sectors",36959,36599,36815,36860,37122,37279,38222,39262,40689,45019,45460,46308,48114,50441
"Mean Annual Earnings","Co. Waterford","Construction (F)",34014,34745,35505,34844,35338,34131,34342,35472,37493,43042,42190,41693,43593,45681
"Mean Annual Earnings","Co. Waterford","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",24076,24297,24316,27435,27403,26520,27443,28081,29565,33433,34124,33531,34953,36514
"Mean Annual Earnings","Co. Waterford","Transportation and storage (H)",36204,35498,34343,35260,34284,35275,34888,36254,37199,38859,38512,39920,41405,43645
"Mean Annual Earnings","Co. Waterford","Accommodation and food service activities (I)",18045,17924,17433,17322,17644,17735,18064,18701,19259,21585,23046,23302,22814,24219
"Mean Annual Earnings","Co. Waterford","Information and communication (J)",42340,44243,44396,44717,44870,43031,44946,46369,46594,47696,55280,62917,66654,72560
"Mean Annual Earnings","Co. Waterford","Professional, scientific and technical activities (M)",35473,37315,34281,37179,36832,36800,37773,39996,41153,44294,45357,48832,52911,55223
"Mean Annual Earnings","Co. Waterford","Administrative and support service activities (N)",22556,22686,23217,23427,23165,23870,24318,25546,28710,29494,29883,32190,33727,37663
"Mean Annual Earnings","Co. Waterford","Public administration and defence; compulsory social security (O)",45467,44398,44825,45500,44754,44670,46882,47763,49087,49955,51949,55351,57223,58850
"Mean Annual Earnings","Co. Waterford","Education (P)",49279,49386,49183,47322,47668,46718,47738,49416,50010,51818,52107,54241,56312,57565
"Mean Annual Earnings","Co. Waterford","Human health and social work activities (Q)",37162,36832,36581,36705,36892,37998,39042,39918,40824,43555,42916,46019,49087,51364
"Mean Annual Earnings","Co. Waterford","Industry (B to E)",47181,46509,47889,48780,49329,49052,50328,50315,52496,56003,55768,57731,59201,62228
"Mean Annual Earnings","Co. Waterford","Financial, insurance and real estate activities (K,L)",44273,43847,44923,43229,43365,41904,42338,44633,45212,48176,50345,51264,52638,54706
"Mean Annual Earnings","Co. Waterford","Arts, entertainment, recreation and other service activities (R,S)",21712,21278,20964,21325,21748,21315,21486,21778,22817,28903,30076,26712,28190,30187
"Mean Annual Earnings","Co. Wicklow","All NACE economic sectors",41725,41293,41252,41692,42433,43075,44026,45432,47158,52025,53046,55361,57540,59827
"Mean Annual Earnings","Co. Wicklow","Construction (F)",40474,39564,38510,38307,37846,38993,39746,41147,43718,47060,49351,47635,50080,51487
"Mean Annual Earnings","Co. Wicklow","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",31759,31176,31148,31839,32503,33466,34555,37044,39284,42062,43203,44328,44936,46421
"Mean Annual Earnings","Co. Wicklow","Transportation and storage (H)",42903,42676,42680,43778,42708,43679,43513,46069,46934,48133,47924,51323,52546,54695
"Mean Annual Earnings","Co. Wicklow","Accommodation and food service activities (I)",20804,20729,20362,20187,20434,21338,22114,22425,22809,29144,28156,26853,27621,28619
"Mean Annual Earnings","Co. Wicklow","Information and communication (J)",64201,64027,64900,67655,71468,73929,74969,77904,79520,84856,92450,100538,107179,113018
"Mean Annual Earnings","Co. Wicklow","Professional, scientific and technical activities (M)",48096,47537,49288,49583,52283,54502,55829,56179,57228,59388,64149,67575,70536,72112
"Mean Annual Earnings","Co. Wicklow","Administrative and support service activities (N)",39368,40714,40518,40865,41566,42636,42936,41249,42554,46945,46529,51856,53847,55620
"Mean Annual Earnings","Co. Wicklow","Public administration and defence; compulsory social security (O)",50217,49318,49638,50207,49195,49416,51653,51927,53191,54851,56493,59644,63176,65549
"Mean Annual Earnings","Co. Wicklow","Education (P)",48851,48520,47874,46652,47008,46331,47159,48606,49659,50926,51459,53930,56213,57626
"Mean Annual Earnings","Co. Wicklow","Human health and social work activities (Q)",34947,34847,34272,33998,34546,34891,35537,36801,38073,39931,40230,42963,44914,48531
"Mean Annual Earnings","Co. Wicklow","Industry (B to E)",47159,48208,47041,47513,47831,47028,47384,49498,51075,55744,56798,58348,60852,63084
"Mean Annual Earnings","Co. Wicklow","Financial, insurance and real estate activities (K,L)",57544,57613,57815,59478,60082,62238,63082,64832,67588,69438,72395,79433,82196,84785
"Mean Annual Earnings","Co. Wicklow","Arts, entertainment, recreation and other service activities (R,S)",27043,26239,26230,27655,27653,27655,28304,28834,29619,35927,36543,34507,35459,37402
"Mean Annual Earnings","Co. Westmeath","All NACE economic sectors",37076,36718,36662,37025,37754,37856,38567,39676,41028,45330,45969,46782,48687,50960
"Mean Annual Earnings","Co. Westmeath","Construction (F)",35809,34948,36215,37154,38186,38346,38245,39094,40950,45627,46033,44594,47477,49997
"Mean Annual Earnings","Co. Westmeath","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",26508,25764,25840,26706,27571,28375,31533,32111,34033,37464,38137,38235,40429,42802
"Mean Annual Earnings","Co. Westmeath","Transportation and storage (H)",35660,35677,35543,35336,34926,36650,36155,38349,38440,40106,40909,41820,42562,44799
"Mean Annual Earnings","Co. Westmeath","Accommodation and food service activities (I)",18768,17969,17610,17813,18475,18535,19278,19586,20241,21866,23971,23753,24111,25258
"Mean Annual Earnings","Co. Westmeath","Information and communication (J)",48969,50235,51424,53869,56508,56816,56842,58372,60709,66934,71411,74035,81026,86223
"Mean Annual Earnings","Co. Westmeath","Professional, scientific and technical activities (M)",36719,36498,37498,36554,41560,41128,42336,40526,42590,47869,50571,51409,56225,57503
"Mean Annual Earnings","Co. Westmeath","Administrative and support service activities (N)",23501,24653,23604,25409,26786,28585,28787,30706,32404,34951,36413,37321,38834,41032
"Mean Annual Earnings","Co. Westmeath","Public administration and defence; compulsory social security (O)",46251,45956,46150,46470,46312,46905,47587,47919,49242,50491,51979,55414,58085,60707
"Mean Annual Earnings","Co. Westmeath","Education (P)",48551,48044,48001,46995,47818,46817,47800,49849,49514,51061,50467,53626,55232,57079
"Mean Annual Earnings","Co. Westmeath","Human health and social work activities (Q)",38333,37679,37359,36830,36941,36925,38029,38566,39582,42158,42436,44448,46234,49333
"Mean Annual Earnings","Co. Westmeath","Industry (B to E)",41648,41981,41762,43155,43524,43557,44255,47325,48331,52154,52080,54604,55042,56641
"Mean Annual Earnings","Co. Westmeath","Financial, insurance and real estate activities (K,L)",41879,41872,42935,43479,43206,42162,43286,44713,49143,51530,53901,55865,59236,63521
"Mean Annual Earnings","Co. Westmeath","Arts, entertainment, recreation and other service activities (R,S)",22061,22178,22831,22655,22500,22912,23469,24107,26412,32149,34449,29120,30923,33526
"Mean Annual Earnings","Co. Wexford","All NACE economic sectors",33672,33612,33566,33632,34242,34430,35115,36271,37432,41519,42173,42906,44582,46746
"Mean Annual Earnings","Co. Wexford","Construction (F)",33766,31871,31807,32667,32238,33232,34261,35080,37542,41571,41672,40421,42041,44210
"Mean Annual Earnings","Co. Wexford","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)",24447,24326,24577,25068,25622,26495,26982,28231,29257,32456,32673,33380,34777,36045
"Mean Annual Earnings","Co. Wexford","Transportation and storage (H)",33124,32652,32416,33946,33820,34636,34604,35396,36446,38752,39634,40186,41603,43860
"Mean Annual Earnings","Co. Wexford","Accommodation and food service activities (I)",17636,17809,17236,17883,18273,19110,19540,19887,20542,26169,25794,24218,24052,25028
"Mean Annual Earnings","Co. Wexford","Information and communication (J)",47636,47164,48209,50353,50664,52836,53435,54641,56215,51484,65233,71931,74590,80333
"Mean Annual Earnings","Co. Wexford","Professional, scientific and technical activities (M)",31372,32308,32546,33813,35613,37272,37140,36841,39386,42316,43759,45907,48209,51765
"Mean Annual Earnings","Co. Wexford","Administrative and support service activities (N)",27897,29777,27962,27264,27034,27117,27897,28375,32392,32493,34979,36470,37791,41245
"Mean Annual Earnings","Co. Wexford","Public administration and defence; compulsory social security (O)",44943,44716,44845,44563,44890,44539,46793,47255,48132,49182,51024,54443,57519,59807
"Mean Annual Earnings","Co. Wexford","Education (P)",47389,47659,47451,45672,46111,45748,46869,47862,48611,50006,49965,52774,54612,55860
"Mean Annual Earnings","Co. Wexford","Human health and social work activities (Q)",33303,32786,32769,32509,33321,32820,33547,35067,35917,38188,37537,39484,41725,44557
